,제목,설명,저자,출판사,출판일,보유,대출,예약,카테고리
3,듣기의 말들,,박총 저,YES24,2023-07-29,1,1,1,인문/사회
4,세상을 바꿀 미래기술 12가지,,한국현 저,YES24,2023-07-28,1,1,0,컴퓨터와인터넷
5,사격의 과학,,가노 요시노리 저/신찬 역,YES24,2023-07-25,1,1,0,자연과과학
6,[단독] 명탐정의 제물,,시라이 도모유키 저/구수영 역,YES24,2023-07-25,1,1,4,문학
7,순도 100퍼센트의 휴식,,박상영 저,YES24,2023-07-25,1,1,3,문학
8,90일 밤의 우주,,"김명진,김상혁,노경민,신지혜,이우경,정태현,정해임,홍성욱 공저",YES24,2023-07-21,1,1,0,자연과과학
9,위기의 역사,,오건영 저,YES24,2023-07-21,1,1,3,비즈니스와경제
10,인공지능의 서곡 : 끝나지 않은 대결,,김종선 저,YES24,2023-07-21,1,0,0,장르문학
11,주식 가치평가를 위한 작은 책,,애스워드 다모다란 저/정호성 역,YES24,2023-07-20,1,1,0,비즈니스와경제
12,스스로 블랙홀에 뛰어든 사나이,,김달영 저,YES24,2023-07-20,1,1,0,어린이/청소년
16,[단독] 오늘도 망설이다 하루가 다 갔다,,"샐리 M. 윈스턴,마틴 N. 세이프 공저/박이봄 역",YES24,2023-07-20,2,2,0,인문/사회
17,힘든 일을 먼저 하라,,스콧 앨런 저/이희경 역 ,YES24,2023-07-20,2,0,0,자기관리
7009,[단독] 오늘도 망설이다 하루가 다 갔다,“어디로 가는지 그 목적지를 미리 볼 필요는 없다.  그저 자신 앞에 놓인 1미터만을 봐야 할 뿐이다“인생의 모든 모퉁이를 돌 때마다 최악의 시나리오를 상상하는 당신을 위해  40여 년간 수천 명을 치료한 불안장애 전문가가 안내하는 ...,"샐리 M. 윈스턴,마틴 N. 세이프 공저/박이봄 역",심심,2023-07-20,,,,
18,[단독] 핵가족,,한요셉 저,YES24,2023-07-19,2,2,0,문학
19,엔화의 미래,,가라카마 다이스케 저/신희원 역  ,YES24,2023-07-19,1,0,0,비즈니스와경제
20,말로 표현하면 모든 슬픔이 사라질 거야,,가바사와 시온 저/이주희 역 ,YES24,2023-07-18,1,1,2,자기관리
21,당신이 보고 싶어하는 세상,,장강명 저,YES24,2023-07-18,5,4,0,문학
22,그녀가 마지막에 본 것은,,마사키 도시카 저/이정민 역,YES24,2023-07-17,1,0,0,문학
23,"딱 하나만 선택하라면, 운동",,세라 커책 저/김잔디 역,YES24,2023-07-17,1,1,1,자기관리
24,여의도 선수들의 비밀,,이대호 저 ,YES24,2023-07-17,1,0,0,비즈니스와경제
25,나는 오늘도 성공을 준비한다,,박상황 저 ,YES24,2023-07-17,1,0,0,자기관리
29,스몰 트라우마,,멕 애럴 저/박슬라 역/김현수 감수,YES24,2023-07-14,2,1,0,인문/사회
30,공부하고 있다는 착각,,대니얼 T. 윌링햄 저/박세연 역,YES24,2023-07-14,2,2,2,인문/사회
31,그림 실력이 좋아지는 치트 스킬,,사이토 나오키 저/김재훈 역,YES24,2023-07-14,1,1,0,가정과생활
32,안의 바깥,,이희원 저,YES24,2023-07-14,1,0,0,문학
33,꿈이 다시 내게 말해,,김은숙 (KIM EUNSUK) 저,YES24,2023-07-14,1,0,0,자기관리
3941,스몰 트라우마,"“사소한 상처는 결코 사소하지 않다”조용히 당신의 삶을 갉아먹는 우울, 불안, 무기력의 정체전 세계 25개국 판권 수출된 화제작정신의학계에서 새롭게 주목하는 개념 ‘스몰 트라우마’ 본격적으로 다루는 첫 책김현수 정신과 전문의, 안산 ...",멕 애럴 저/박슬라 역/김현수 감수,갤리온,2023-07-14,,,,
34,최선을 다하면 죽는다,,"황선우,김혼비 저",YES24,2023-07-13,5,4,0,문학
35,강력의 탄생,,김현철 저,YES24,2023-07-13,1,1,0,자연과과학
4667,최선을 다하면 죽는다,"우리 시대의 여성들에게 새로운 화두와 용기를 전해주는 팟캐스트 [여자 둘이 토크하고 있습니다]를 진행하며 똑부러지게 일하고 말하는 ‘멋언니’로 각광받는 황선우 작가, 그리고 『우아하고 호쾌한 여자 축구』와 『아무튼, 술』 등의 독보적...","황선우,김혼비 저",문학동네,2023-07-13,,,,
36,나를 지키는 관계가 먼저입니다,,안젤라 센 저 ,YES24,2023-07-12,1,1,2,자기관리
37,[단독] 변론의 법칙,,마이클 코넬리 저/한정아 역,YES24,2023-07-12,2,2,3,문학
38,파이썬 텍스트 마이닝 완벽 가이드 (개정판),,"박상언,강주영 저",YES24,2023-07-12,1,0,0,컴퓨터와인터넷
42,울게 되는 한국사,,김재원 저 ,YES24,2023-07-12,1,1,0,인문/사회
43,교양 고전 독서,,노명우 저,YES24,2023-07-11,1,1,0,인문/사회
44,주디스 헌의 외로운 열정,,브라이언 무어 저/고유경 역,YES24,2023-07-11,1,0,0,문학
45,"과학, 그게 최선입니까?",,강호정 저,YES24,2023-07-11,1,1,0,자연과과학
46,답만 외우는 바리스타 자격시험 1급 기출예상문제집,,류중호 저,YES24,2023-07-10,1,0,0,수험서/자격증
47,생산자의 법칙,,스테르담 저,YES24,2023-07-10,1,0,0,자기관리
48,노션 Notion 라이프,,박현정 저,YES24,2023-07-10,1,1,1,컴퓨터와인터넷
49,최소한의 한국사,,최태성 저 ,YES24,2023-07-10,1,1,3,인문/사회
50,말에 구원받는다는 것,,아라이 유키 저/배형은 역,YES24,2023-07-10,1,0,0,인문/사회
51,"경이로운, 나에게 답하다",,박경희 저,YES24,2023-07-07,1,0,0,문학
55,"미디어, 디지털 세상을 잇다",,주형일 저,YES24,2023-07-07,1,0,0,인문/사회
56,다오 DAO,,이유미 저 ,YES24,2023-07-07,2,0,0,비즈니스와경제
57,금리는 답을 알고 있다,,김유성 저 ,YES24,2023-07-07,1,0,0,비즈니스와경제
2095,금리는 답을 알고 있다,"우리의 운명을 바꿀 숫자, 금리베테랑 경제부 기자가 알려주는 가장 쉬운 금리 지식2022년 3월부터 미국은 10번 연속 기준금리를 올렸지만, 2023년 5월 제롬 파월 연방준비제도(연준, Fed) 의장이 금리 인상 중단 의사를 내비침...",김유성 저 ,경이로움,2023-07-07,,,,
58,무한한 부의 시대가 온다,,"폴 제인 필저,스티븐 P. 자초 공저/유지연 역  ",YES24,2023-07-06,1,1,0,비즈니스와경제
59,내가 너무 애매하게 구나?,,샘 젤 저/존 최 역 ,YES24,2023-07-06,1,0,0,비즈니스와경제
60,메타인지의 힘,,구본권 저,YES24,2023-07-06,1,0,0,인문/사회
4695,메타인지의 힘,"인간의 가장 고등한 지적 능력이자 기계와 구별되는 유일한 인지 능력, ‘메타인지’에 관한 종합교양서. 최근 전 세계 뇌과학, 신경과학, 심리학, 인지과학 연구자들이 가장 중요하게 탐구해온 주제이자 인공지능 시대에 반드시 갖춰야 할 경...",구본권 저,어크로스,2023-07-06,,,,
